,mes,original,tc
nov,11/1/2014,203.3,203.6
dic,12/1/2014,221.8,204.4
ene,1/1/2015,200.9,205.4
feb,2/1/2015,201.9,206.4
mar,3/1/2015,213.9,207.3
abr,4/1/2015,206.3,208.1
may,5/1/2015,206.7,208.8
jun,6/1/2015,206.3,209.5
jul,7/1/2015,202.4,210.2
ago,8/1/2015,208.3,210.9
sep,9/1/2015,205.4,211.5
oct,10/1/2015,214.1,212.2
nov,11/1/2015,214.9,212.6
dic,12/1/2015,231.5,212.8
ene,1/1/2016,207.8,213.0
feb,2/1/2016,210.0,213.2
mar,3/1/2016,220.1,213.5
abr,4/1/2016,211.6,214.0
may,5/1/2016,214.5,214.6
jun,6/1/2016,216.5,215.3
jul,7/1/2016,205.9,216.3
ago,8/1/2016,216.3,217.3
sep,9/1/2016,213.2,218.6
oct,10/1/2016,220.9,219.9
nov,11/1/2016,227.5,221.3
dic,12/1/2016,245.3,222.5
ene,1/1/2017,219.8,223.5
feb,2/1/2017,221.2,224.3
mar,3/1/2017,233.8,225.1
abr,4/1/2017,218.5,226.0
may,5/1/2017,226.1,227.0
jun,6/1/2017,227.3,228.2
jul,7/1/2017,217.4,229.3
ago,8/1/2017,230.2,230.3
